asof_date,ticker,action,lane,choice,direction,primary,score,opt_conf,naive_pop,target_debit,target_credit,close,trend,rs_20,iv30,hv20,vrp,group,group_status
2026-08-31,SHOP,TRADE,SWING,OPTIONS,bullish,E,55.0000,85,0.4220,4.0000,,147.4650,strong_up,0.2472,43.4000,55.5300,-12.1300,software,accelerating
2026-08-31,ADBE,TRADE,SWING,STOCK,bullish,E,55.0000,,,,,293.3850,up,0.1542,51.9800,43.7000,8.2800,software,accelerating
2026-08-31,XLE,TRADE,SWING,OPTIONS,bullish,E,55.0000,71,0.3587,1.6700,,64.0700,strong_up,0.0768,24.9700,23.0800,1.8900,energy,emerging
2026-08-31,NET,TRADE,SWING,STOCK,bullish,E,55.0000,,,,,306.7200,strong_up,0.0718,53.5400,66.6200,-13.0800,software,accelerating
2026-08-31,SNOW,TRADE,SWING,STOCK,bullish,E,55.0000,,,,,332.8600,strong_up,0.0693,68.5000,45.3800,23.1200,software,accelerating
2026-08-31,CVX,TRADE,SWING,OPTIONS,bullish,E,55.0000,75,0.3804,3.7600,,206.8662,strong_up,0.0578,24.9900,22.9600,2.0300,energy,emerging
2026-08-31,ANET,TRADE,SWING,STOCK,bullish,E,55.0000,,,,,196.8400,strong_up,0.0516,45.9700,55.0400,-9.0700,networking,accelerating
2026-08-31,CRWD,WATCH,FIRE,OPTIONS,bullish,C,57.0000,69,0.4284,3.9500,,229.5700,strong_up,0.1204,51.6400,71.3000,-19.6600,cybersecurity,mature
2026-08-31,PLTR,WATCH,SWING,OPTIONS,bullish,E,51.0000,56,0.4402,4.0000,,186.5500,up,0.4716,45.3400,79.7700,-34.4300,software,accelerating
2026-08-31,XLK,WATCH,SWING,STOCK,bullish,E,50.0000,,,,,186.5000,strong_up,0.0345,23.4300,23.6100,-0.1800,technology,accelerating
