ticker,thesis,strategy,expiry,human_readable_trade_legs,discovered,candidate_generated,constructions_attempted,best_construction,final_disposition,target_ticket_shown,targetable,exact_reason_if_not_targetable,hard_or_non_hard_blocker,current_reference,target_entry,price_target_miss_visible
MSTR,Wheel Entry CSP,Wheel,2026-10-16,Wheel: sell MSTR 2026-10-16 90P,True,True,71,Wheel: sell MSTR 2026-10-16 90P,Wheel/Cash,False,False,thin_replay_sample:n=0,non-hard,8.45 / 8.30,>= $8.30 credit,False
MSTR,Iron Butterfly,Iron Butterfly,2026-10-16,Iron Butterfly: buy MSTR 2026-10-16 85P / sell MSTR 2026-10-16 95P / sell MSTR 2026-10-16 95C / buy MSTR 2026-10-16 105C,True,True,71,Iron Butterfly: buy MSTR 2026-10-16 85P / sell MSTR 2026-10-16 95P / sell MSTR 2026-10-16 95C / buy MSTR 2026-10-16 105C,Research,False,False,thin_replay_sample:n=0,non-hard,8.30 / 7.55,>= $7.55 credit,False
MSTR,Put Butterfly,Put Butterfly,2026-10-16,Put Butterfly: buy MSTR 2026-10-16 95P / sell 2x MSTR 2026-10-16 90P / buy MSTR 2026-10-16 85P,True,True,71,Put Butterfly: buy MSTR 2026-10-16 95P / sell 2x MSTR 2026-10-16 90P / buy MSTR 2026-10-16 85P,Research,False,False,thin_replay_sample:n=0,non-hard,0.30 / 0.95,<= $0.95 debit,False
MSTR,Long Call,Long Call,2026-10-16,Long Call: buy MSTR 2026-10-16 100C,True,True,71,Long Call: buy MSTR 2026-10-16 100C,Research,False,False,thin_replay_sample:n=0,non-hard,9.75 / 9.95,<= $9.95 debit,False
MSTR,Reverse Jade Lizard,Reverse Jade Lizard,2026-10-16,Reverse Jade Lizard: sell MSTR 2026-10-16 100C / sell MSTR 2026-10-16 90P / buy MSTR 2026-10-16 85P,True,True,71,Reverse Jade Lizard: sell MSTR 2026-10-16 100C / sell MSTR 2026-10-16 90P / buy MSTR 2026-10-16 85P,Research,False,False,thin_replay_sample:n=0,non-hard,11.92 / 11.35,>= $11.35 credit,False
MSTR,Long Put,Long Put,2026-10-16,Long Put: buy MSTR 2026-10-16 90P,True,True,71,Long Put: buy MSTR 2026-10-16 90P,Research,False,False,thin_replay_sample:n=0,non-hard,8.45 / 8.60,<= $8.60 debit,False
MSTR,Covered Call,Covered Call,2026-10-16,Covered Call: hold 100 shares / sell MSTR 2026-10-16 100C,True,True,71,Covered Call: hold 100 shares / sell MSTR 2026-10-16 100C,Research,False,False,thin_replay_sample:n=0,non-hard,9.75 / 9.55,>= $9.55 credit,False
MSTR,Cash-Secured Put,Cash-Secured Put,2026-10-16,Cash-Secured Put: sell MSTR 2026-10-16 90P,True,True,71,Cash-Secured Put: sell MSTR 2026-10-16 90P,Wheel/Cash,False,False,thin_replay_sample:n=0,non-hard,8.45 / 8.30,>= $8.30 credit,False
MSTR,Protective Put,Protective Put,2026-10-16,Protective Put: hold 100 shares / buy MSTR 2026-10-16 90P,True,True,71,Protective Put: hold 100 shares / buy MSTR 2026-10-16 90P,Research,False,False,thin_replay_sample:n=0,non-hard,8.45 / 8.60,<= $8.60 debit,False
MSTR,Collar,Collar,2026-10-16,Collar: hold 100 shares / buy MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C,True,True,71,Collar: hold 100 shares / buy MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C,Research,False,False,thin_replay_sample:n=0,non-hard,1.30 / 0.95,>= $0.95 credit,False
MSTR,Short Straddle,Short Straddle,2026-10-16,Short Straddle: sell MSTR 2026-10-16 95C / sell MSTR 2026-10-16 95P,True,True,71,Short Straddle: sell MSTR 2026-10-16 95C / sell MSTR 2026-10-16 95P,Research,False,False,thin_replay_sample:n=0,non-hard,22.60 / 22.30,>= $22.30 credit,False
MSTR,Long Strangle,Long Strangle,2026-10-16,Long Strangle: buy MSTR 2026-10-16 100C / buy MSTR 2026-10-16 90P,True,True,71,Long Strangle: buy MSTR 2026-10-16 100C / buy MSTR 2026-10-16 90P,Research,False,False,thin_replay_sample:n=0,non-hard,18.20 / 18.55,<= $18.55 debit,False
MSTR,Short Strangle,Short Strangle,2026-10-16,Short Strangle: sell MSTR 2026-10-16 100C / sell MSTR 2026-10-16 90P,True,True,71,Short Strangle: sell MSTR 2026-10-16 100C / sell MSTR 2026-10-16 90P,Research,False,False,thin_replay_sample:n=0,non-hard,18.20 / 17.85,>= $17.85 credit,False
MSTR,Iron Condor,Iron Condor,2026-10-16,Iron Condor: buy MSTR 2026-10-16 85P / sell MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C / buy MSTR 2026-10-16 105C,True,True,71,Iron Condor: buy MSTR 2026-10-16 85P / sell MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C / buy MSTR 2026-10-16 105C,Research,False,False,thin_replay_sample:n=0,non-hard,3.90 / 3.10,>= $3.10 credit,False
MSTR,Long Straddle,Long Straddle,2026-10-16,Long Straddle: buy MSTR 2026-10-16 95C / buy MSTR 2026-10-16 95P,True,True,71,Long Straddle: buy MSTR 2026-10-16 95C / buy MSTR 2026-10-16 95P,Research,False,False,thin_replay_sample:n=0,non-hard,22.60 / 22.90,<= $22.90 debit,False
MSTR,Covered Strangle,Covered Strangle,2026-10-16,Covered Strangle: hold 100 shares / sell MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C,True,True,71,Covered Strangle: hold 100 shares / sell MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C,Research,False,False,thin_replay_sample:n=0,non-hard,18.20 / 17.85,>= $17.85 credit,False
MSTR,Put Diagonal,Put Diagonal,2026-10-16,Put Diagonal: sell MSTR 2026-10-16 90P / buy MSTR 2026-11-20 95P,True,True,71,Put Diagonal: sell MSTR 2026-10-16 90P / buy MSTR 2026-11-20 95P,Research,False,False,thin_replay_sample:n=0,non-hard,5.50 / 5.85,<= $5.85 debit,False
MSTR,Call Butterfly,Call Butterfly,2026-10-16,Call Butterfly: buy MSTR 2026-10-16 95C / sell 2x MSTR 2026-10-16 100C / buy MSTR 2026-10-16 105C,True,True,71,Call Butterfly: buy MSTR 2026-10-16 95C / sell 2x MSTR 2026-10-16 100C / buy MSTR 2026-10-16 105C,Research,False,False,thin_replay_sample:n=0,non-hard,0.20 / 1.00,<= $1.00 debit,False
MSTR,Put Ratio Backspread,Put Ratio Backspread,2026-10-16,Put Ratio Backspread: sell MSTR 2026-10-16 95P / buy 2x MSTR 2026-10-16 85P,True,True,71,Put Ratio Backspread: sell MSTR 2026-10-16 95P / buy 2x MSTR 2026-10-16 85P,Research,False,False,thin_replay_sample:n=0,non-hard,1.62 / 2.20,<= $2.20 debit,False
MSTR,Call Ratio Backspread,Call Ratio Backspread,2026-10-16,Call Ratio Backspread: sell MSTR 2026-10-16 95C / buy 2x MSTR 2026-10-16 105C,True,True,71,Call Ratio Backspread: sell MSTR 2026-10-16 95C / buy 2x MSTR 2026-10-16 105C,Research,False,False,thin_replay_sample:n=0,non-hard,4.38 / 5.00,<= $5.00 debit,False
MSTR,Put Ratio Spread,Put Ratio Spread,2026-10-16,Put Ratio Spread: buy MSTR 2026-10-16 95P / sell 2x MSTR 2026-10-16 90P,True,True,71,Put Ratio Spread: buy MSTR 2026-10-16 95P / sell 2x MSTR 2026-10-16 90P,Research,False,False,thin_replay_sample:n=0,non-hard,5.97 / 5.55,>= $5.55 credit,False
MSTR,Call Ratio Spread,Call Ratio Spread,2026-10-16,Call Ratio Spread: buy MSTR 2026-10-16 95C / sell 2x MSTR 2026-10-16 100C,True,True,71,Call Ratio Spread: buy MSTR 2026-10-16 95C / sell 2x MSTR 2026-10-16 100C,Research,False,False,thin_replay_sample:n=0,non-hard,7.82 / 7.25,>= $7.25 credit,False
MSTR,Jade Lizard,Jade Lizard,2026-10-16,Jade Lizard: sell MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C / buy MSTR 2026-10-16 105C,True,True,71,Jade Lizard: sell MSTR 2026-10-16 90P / sell MSTR 2026-10-16 100C / buy MSTR 2026-10-16 105C,Research,False,False,thin_replay_sample:n=0,non-hard,10.17 / 9.60,>= $9.60 credit,False
MSTR,Call Diagonal,Call Diagonal,2026-10-16,Call Diagonal: sell MSTR 2026-10-16 100C / buy MSTR 2026-11-20 95C,True,True,71,Call Diagonal: sell MSTR 2026-10-16 100C / buy MSTR 2026-11-20 95C,Research,False,False,thin_replay_sample:n=0,non-hard,5.60 / 6.20,<= $6.20 debit,False
MSTR,Call Calendar,Call Calendar,2026-10-16,Call Calendar: sell MSTR 2026-10-16 95C / buy MSTR 2026-11-20 95C,True,True,71,Call Calendar: sell MSTR 2026-10-16 95C / buy MSTR 2026-11-20 95C,Research,False,False,thin_replay_sample:n=0,non-hard,3.67 / 4.25,<= $4.25 debit,False
MSTR,Put Broken-Wing Butterfly,Put Broken-Wing Butterfly,2026-10-16,Put Broken-Wing Butterfly: buy MSTR 2026-10-16 95P / sell 2x MSTR 2026-10-16 90P / buy MSTR 2026-10-16 80P,True,True,71,Put Broken-Wing Butterfly: buy MSTR 2026-10-16 95P / sell 2x MSTR 2026-10-16 90P / buy MSTR 2026-10-16 80P,Research,False,False,thin_replay_sample:n=0,non-hard,1.42 / 0.80,>= $0.80 credit,False
MSTR,Call Broken-Wing Butterfly,Call Broken-Wing Butterfly,2026-10-16,Call Broken-Wing Butterfly: buy MSTR 2026-10-16 95C / sell 2x MSTR 2026-10-16 100C / buy MSTR 2026-10-16 110C,True,True,71,Call Broken-Wing Butterfly: buy MSTR 2026-10-16 95C / sell 2x MSTR 2026-10-16 100C / buy MSTR 2026-10-16 110C,Research,False,False,thin_replay_sample:n=0,non-hard,1.25 / 0.55,>= $0.55 credit,False
MSTR,Put Calendar,Put Calendar,2026-10-16,Put Calendar: sell MSTR 2026-10-16 95P / buy MSTR 2026-11-20 95P,True,True,71,Put Calendar: sell MSTR 2026-10-16 95P / buy MSTR 2026-11-20 95P,Research,False,False,thin_replay_sample:n=0,non-hard,3.02 / 3.35,<= $3.35 debit,False
